p, alpha, 1/beta, expected polymorphisms
0, 300.0000000000001, 0.0000001541467657920456, 0.0007548
0, 300.0000000000001, 0.0000001541467657920456, 0.0007548
0, 290.8506518295917, 0.0000001584893192461114, 0.0007558
0, 225.56161320737237, 0.0000002059863942616875, 0.0007534
0, 182.5276007813775, 0.00000025118864315095823, 0.0007574
0, 169.59347117570735, 0.0000002708036442160055, 0.0007569
0, 127.51258982610176, 0.0000003652004813843986, 0.0007527
0, 115.93811031632079, 0.00000039810717055349687, 0.0007554
0, 95.87315155141827, 0.0000004836048047249234, 0.0007540
0, 72.81762821148743, 0.000000630957344480193, 0.0007568
0, 72.08434242404265, 0.0000006376784776269807, 0.0007566
0, 54.19820188053225, 0.000000862049856020774, 0.0007517
0, 46.27986268057486, 0.0000009999999999999997, 0.0007546
0, 40.750112830372316, 0.0000011416356918193267, 0.0007530
0, 30.638870628004046, 0.0000015174645544368143, 0.0007532
0, 29.267338838171042, 0.000001584893192461114, 0.0007539
0, 23.036510285681892, 0.0000020426117609592174, 0.0007497
0, 18.58524958360993, 0.0000025118864315095823, 0.0007521
0, 17.320508075688775, 0.0000027076390188324098, 0.0007508
0, 13.022805810412262, 0.0000036300647024173715, 0.0007486
0, 11.84596516073017, 0.000003981071705534969, 0.0007493
0, 9.791483623609768, 0.000004887475719264104, 0.0007453
0, 7.549938308749734, 0.00000630957344480193, 0.0007470
0, 7.3619428061166206, 0.000006487995060251171, 0.0007462
0, 5.535238985626912, 0.00000880608239687674, 0.0007413
0, 4.874872287742436, 0.00001, 0.0007418
0, 4.161791450287818, 0.000011941732589246017, 0.0007373
0, 3.151143795792919, 0.000015848931924611138, 0.0007379
0, 3.1291346445318977, 0.000015980727030317896, 0.0007376
0, 2.3527088612123075, 0.000022084851528262447, 0.0007308
0, 2.0796912080337586, 0.000025118864315095822, 0.0007310
0, 1.7689360204744258, 0.000030532846214531185, 0.0007254
0, 1.386785662694208, 0.000039810717055349695, 0.0007250
0, 1.3300135414628025, 0.000042040057592132016, 0.0007231
0, 1, 0.000059268778545316244, 0.0007180
0.1, 300.0000000000001, 0.00000012221738250849407, 0.0007433
0.1, 300.0000000000001, 0.00000012221738250849407, 0.0007433
0.1, 225.56161320737237, 0.00000015745614479235895, 0.0007497
0.1, 224.1010946598654, 0.0000001584893192461114, 0.0007497
0.1, 169.59347117570732, 0.0000002144465552856113, 0.0007449
0.1, 143.34770274920493, 0.00000025118864315095823, 0.0007469
0.1, 127.51258982610176, 0.00000028579681663925166, 0.0007444
0.1, 95.87315155141827, 0.00000037423151438881107, 0.0007476
0.1, 90.0283006949983, 0.0000003981071705534969, 0.0007477
0.1, 72.08434242404266, 0.0000005083976144022012, 0.0007431
0.1, 57.05958587182932, 0.000000630957344480193, 0.0007467
0.1, 54.19820188053225, 0.0000006666962666444516, 0.0007459
0.1, 40.750112830372316, 0.0000008930699466512873, 0.0007443
0.1, 36.22876263209082, 0.000001, 0.0007451
0.1, 30.63887062800405, 0.0000011993468186386521, 0.0007420
0.1, 23.036510285681896, 0.0000015714416165845784, 0.0007448
0.1, 22.837445924637542, 0.000001584893192461114, 0.0007448
0.1, 17.320508075688775, 0.0000021300562536844447, 0.0007405
0.1, 14.603973433793314, 0.0000025118864315095823, 0.0007414
0.1, 13.02280581041226, 0.0000028419398537103077, 0.0007394
0.1, 9.791483623609768, 0.0000037781975987967553, 0.0007390
0.1, 9.284429639760333, 0.000003981071705534969, 0.0007390
0.1, 7.36194280611662, 0.000005109136821319283, 0.0007349
0.1, 5.947353627019855, 0.00000630957344480193, 0.0007349
0.1, 5.535238985626913, 0.000006827122654861981, 0.0007333
0.1, 4.161791450287818, 0.00000918627914562949, 0.0007303
0.1, 3.8238639591838774, 0.00001, 0.0007301
0.1, 3.129134644531898, 0.000012482821607816822, 0.0007256
0.1, 2.475753088277439, 0.00001584893192461114, 0.0007245
0.1, 2.3527088612123075, 0.000016813321581146697, 0.0007230
0.1, 1.7689360204744258, 0.00002294015464650834, 0.0007186
0.1, 1.6201389072592205, 0.000025118864315095822, 0.0007184
0.1, 1.3300135414628023, 0.00003168060528558289, 0.0007132
0.1, 1.0756784679359217, 0.000039810717055349695, 0.0007121
0.1, 1, 0.000043676489470296766, 0.0007095
0.2, 256.2807710325777, 0.0000001, 0.0007216
0.2, 256.2807710325777, 0.0000001, 0.0007216
0.2, 225.56161320737237, 0.00000011364696122304818, 0.0007216
0.2, 169.59347117570735, 0.00000015123953747595992, 0.0007215
0.2, 161.96443250931463, 0.0000001584893192461114, 0.0007214
0.2, 127.51258982610179, 0.00000020055942186273017, 0.0007218
0.2, 102.14031138870588, 0.00000025118864315095823, 0.0007215
0.2, 95.87315155141827, 0.00000026824058482269253, 0.0007212
0.2, 72.08434242404265, 0.00000035497809161196566, 0.0007217
0.2, 64.36502993948046, 0.0000003981071705534969, 0.0007215
0.2, 54.19820188053225, 0.00000047318691333941774, 0.0007213
0.2, 40.750112830372316, 0.0000006294673535524286, 0.0007211
0.2, 40.65347306971581, 0.000000630957344480193, 0.0007211
0.2, 30.63887062800405, 0.0000008365144655244301, 0.0007210
0.2, 25.639846151723688, 0.000001, 0.0007207
0.2, 23.036510285681896, 0.0000011178082096049572, 0.0007201
0.2, 17.320508075688775, 0.0000014822120906896504, 0.0007200
0.2, 16.194502664483952, 0.000001584893192461114, 0.0007199
0.2, 13.022805810412258, 0.0000019836209570038384, 0.0007188
0.2, 10.253734393489943, 0.0000025118864315095823, 0.0007185
0.2, 9.791483623609768, 0.0000026384100777932896, 0.0007180
0.2, 7.3619428061166206, 0.00000352472795994203, 0.0007166
0.2, 6.510512597897407, 0.000003981071705534969, 0.0007163
0.2, 5.535238985626911, 0.000004726606709275465, 0.0007146
0.2, 4.161791450287818, 0.0000062733360853971586, 0.0007135
0.2, 4.137573074316612, 0.00000630957344480193, 0.0007135
0.2, 3.129134644531898, 0.00000845758051600518, 0.0007104
0.2, 2.643460952791566, 0.00001, 0.0007095
0.2, 2.3527088612123075, 0.000011347301376863671, 0.0007077
0.2, 1.7689360204744258, 0.000015164806245905173, 0.0007053
0.2, 1.6917548381801009, 0.00001584893192461114, 0.0007051
0.2, 1.3300135414628025, 0.00002056177337299613, 0.0007015
0.2, 1.0917428030640703, 0.00002511886431509582, 0.0007001
0.2, 1, 0.000027786981581076333, 0.0006983
0.3, 131.73101632587696, 0.0000001, 0.0006796
0.3, 131.73101632587696, 0.0000001, 0.0006796
0.3, 127.51258982610177, 0.0000001036031327225367, 0.0006795
0.3, 95.87315155141827, 0.00000013560818222650752, 0.0006800
0.3, 82.91681924936498, 0.0000001584893192461114, 0.0006797
0.3, 72.08434242404265, 0.00000018379256714765547, 0.0006794
0.3, 54.19820188053225, 0.00000024049898594786135, 0.0006799
0.3, 52.162340819646396, 0.00000025118864315095823, 0.0006797
0.3, 40.750112830372316, 0.0000003206455565491242, 0.0006798
0.3, 32.987505571800696, 0.0000003981071705534969, 0.0006796
0.3, 30.638870628004042, 0.00000043005407274758674, 0.0006795
0.3, 23.036510285681896, 0.0000005621415666214232, 0.0006800
0.3, 20.647798282350223, 0.000000630957344480193, 0.0006798
0.3, 17.320508075688775, 0.000000751704200002037, 0.0006797
0.3, 13.023131078147005, 0.000001, 0.0006795
0.3, 13.02280581041226, 0.0000010000253540123269, 0.0006795
0.3, 9.791483623609768, 0.0000013084998663927643, 0.0006798
0.3, 8.090646325469281, 0.000001584893192461114, 0.0006796
0.3, 7.3619428061166206, 0.0000017381939942229566, 0.0006795
0.3, 5.535238985626912, 0.00000227819286184552, 0.0006796
0.3, 5.01313317811982, 0.0000025118864315095823, 0.0006794
0.3, 4.161791450287818, 0.000002992023861936028, 0.0006794
0.3, 3.129134644531898, 0.000003941117170750688, 0.0006789
0.3, 3.0963385271032418, 0.000003981071705534969, 0.0006789
0.3, 2.3527088612123075, 0.0000051142938718884704, 0.0006788
0.3, 1.883291180781875, 0.00000630957344480193, 0.0006783
0.3, 1.7689360204744258, 0.000006694418211172288, 0.0006782
0.3, 1.3300135414628025, 0.000008679788297386442, 0.0006776
0.3, 1.1403134896010028, 0.000009999999999999999, 0.0006772
0.3, 1, 0.000011305223895756521, 0.0006768